session_key,trait,reason,assigned,inferred,scenario_id,profile_id
baseline_assertive_leader_resource_conflict_r1,C,,0.8,0.775,resource_conflict,assertive_leader
baseline_anxious_perfectionist_resource_conflict_r1,C,model_range>0.35,0.9,0.6,resource_conflict,anxious_perfectionist
baseline_withdrawn_critic_resource_conflict_r1,C,"order_effect>0.15,parse_errors=2",0.4,0.485,resource_conflict,withdrawn_critic
baseline_creative_rebel_resource_conflict_r1,O,model_range>0.56,0.9,0.8,resource_conflict,creative_rebel
baseline_creative_rebel_resource_conflict_r1,N,model_range>0.65,0.4,0.225,resource_conflict,creative_rebel
baseline_withdrawn_critic_crisis_management_r1,N,"order_effect>0.25,model_range>0.42",0.8,0.44999999999999996,crisis_management,withdrawn_critic
baseline_creative_rebel_crisis_management_r1,O,model_range>0.70,0.9,0.825,crisis_management,creative_rebel
baseline_creative_rebel_crisis_management_r1,N,model_range>0.70,0.4,0.7,crisis_management,creative_rebel
bcfc_creative_rebel_crisis_management_r1,N,model_range>0.42,0.4,0.2,crisis_management,creative_rebel
bcfc_anxious_perfectionist_resource_conflict_r1,N,model_range>0.43,0.9,0.5,resource_conflict,anxious_perfectionist
bcfc_assertive_leader_resource_conflict_r1,A,model_range>0.38,0.4,0.75,resource_conflict,assertive_leader
bcfc_withdrawn_critic_resource_conflict_r1,C,model_range>0.38,0.4,0.35,resource_conflict,withdrawn_critic
bcfc_withdrawn_critic_resource_conflict_r1,E,model_range>0.50,0.2,0.275,resource_conflict,withdrawn_critic
bcfc_creative_rebel_resource_conflict_r1,O,model_range>0.73,0.9,0.9,resource_conflict,creative_rebel
bcfc_withdrawn_critic_crisis_management_r1,C,model_range>0.38,0.4,0.4,crisis_management,withdrawn_critic
bcfc_withdrawn_critic_crisis_management_r1,N,order_effect>0.30,0.8,0.55,crisis_management,withdrawn_critic
bcfc_anxious_perfectionist_crisis_management_r1,E,order_effect>0.20,0.3,0.4,crisis_management,anxious_perfectionist
