session_key,trait,reason,assigned,inferred,scenario_id,profile_id
bcfc_v3_anxious_perfectionist_crisis_management_r1,O,model_range>0.40,0.4,0.63,crisis_management,anxious_perfectionist
bcfc_v3_anxious_perfectionist_crisis_management_r1,E,model_range>0.47,0.3,0.5,crisis_management,anxious_perfectionist
bcfc_v3_anxious_perfectionist_crisis_management_r1,A,model_range>0.32,0.7,0.78,crisis_management,anxious_perfectionist
bcfc_v3_anxious_perfectionist_crisis_management_r1,N,model_range>0.47,0.9,0.3,crisis_management,anxious_perfectionist
bcfc_v3_anxious_perfectionist_strategy_pivot_r1,N,model_range>0.39,0.9,0.75,strategy_pivot,anxious_perfectionist
bcfc_v3_anxious_perfectionist_release_recovery_r1,O,model_range>0.35,0.4,0.35,release_recovery,anxious_perfectionist
bcfc_v3_anxious_perfectionist_release_recovery_r1,E,model_range>0.43,0.3,0.4,release_recovery,anxious_perfectionist
bcfc_v3_creative_rebel_crisis_management_r1,O,model_range>0.62,0.9,0.55,crisis_management,creative_rebel
bcfc_v3_creative_rebel_release_recovery_r1,O,model_range>0.62,0.9,0.575,release_recovery,creative_rebel
bcfc_v3_creative_rebel_release_recovery_r1,C,model_range>0.56,0.3,0.5,release_recovery,creative_rebel
bcfc_v3_creative_rebel_release_recovery_r1,A,model_range>0.40,0.3,0.15,release_recovery,creative_rebel
bcfc_v3_neutral_observer_crisis_management_r1,O,model_range>0.53,0.5,0.415,crisis_management,neutral_observer
bcfc_v3_neutral_observer_crisis_management_r1,A,model_range>0.33,0.5,0.85,crisis_management,neutral_observer
bcfc_v3_neutral_observer_strategy_pivot_r1,O,model_range>0.45,0.5,0.7150000000000001,strategy_pivot,neutral_observer
bcfc_v3_neutral_observer_strategy_pivot_r1,C,model_range>0.33,0.5,0.58,strategy_pivot,neutral_observer
bcfc_v3_neutral_observer_release_recovery_r1,O,model_range>0.33,0.5,0.3,release_recovery,neutral_observer
bcfc_v3_neutral_observer_release_recovery_r1,E,"order_effect>0.20,model_range>0.34",0.5,0.7,release_recovery,neutral_observer
