session_key,trait,reason,assigned,inferred,scenario_id,profile_id
main_withdrawn_critic_crisis_management_r1,C,model_range>0.45,0.4,0.6699999999999999,crisis_management,withdrawn_critic
main_withdrawn_critic_crisis_management_r1,E,model_range>0.50,0.2,0.25,crisis_management,withdrawn_critic
main_withdrawn_critic_crisis_management_r1,N,model_range>0.67,0.8,0.72,crisis_management,withdrawn_critic
main_assertive_leader_crisis_management_r1,E,model_range>0.41,0.9,0.825,crisis_management,assertive_leader
main_assertive_leader_crisis_management_r1,A,model_range>0.58,0.4,0.575,crisis_management,assertive_leader
main_passive_avoider_crisis_management_r1,A,model_range>0.40,0.8,0.8,crisis_management,passive_avoider
main_anxious_perfectionist_crisis_management_r1,A,model_range>0.52,0.7,0.825,crisis_management,anxious_perfectionist
baseline_a_none_resource_conflict_r1,E,model_range>0.43,,0.7,resource_conflict,none
baseline_a_none_resource_conflict_r1,A,model_range>0.41,,0.62,resource_conflict,none
main_assertive_leader_resource_conflict_r1,E,model_range>0.39,0.9,0.8,resource_conflict,assertive_leader
baseline_b_assertive_leader_crisis_management_r1,E,model_range>0.34,0.4,0.75,crisis_management,assertive_leader
main_withdrawn_critic_resource_conflict_r1,C,model_range>0.45,0.4,0.6699999999999999,resource_conflict,withdrawn_critic
main_withdrawn_critic_resource_conflict_r1,N,model_range>0.62,0.8,0.5,resource_conflict,withdrawn_critic
baseline_a_none_crisis_management_r1,O,model_range>0.45,,0.4,crisis_management,none
baseline_a_none_crisis_management_r1,E,model_range>0.35,,0.75,crisis_management,none
baseline_a_none_crisis_management_r1,A,order_effect>0.20,,0.48,crisis_management,none
main_anxious_perfectionist_resource_conflict_r1,C,model_range>0.40,0.9,0.62,resource_conflict,anxious_perfectionist
main_anxious_perfectionist_resource_conflict_r1,N,model_range>0.38,0.9,0.72,resource_conflict,anxious_perfectionist
